所在地_市区町村,間取り,専有面積(m^2),賃料,徒歩分数(分),賃料（万円）,件数
横浜市中区,1K,23.0,69803.0,9.0,7.0,16758
横浜市保土ケ谷区,1K,22.0,56098.0,14.0,6.0,8851
横浜市南区,1K,22.0,60143.0,10.0,6.0,38046
横浜市戸塚区,1K,22.0,52527.0,23.0,5.0,10766
横浜市旭区,1K,21.0,51971.0,16.0,5.0,3988
横浜市栄区,1K,23.0,60629.0,20.0,6.0,3817
横浜市泉区,1K,21.0,60082.0,15.0,6.0,75017
横浜市港北区,1K,22.0,62769.0,14.0,6.0,37746
横浜市港南区,1K,21.0,54778.0,16.0,5.0,5442
横浜市瀬谷区,1K,23.0,52971.0,18.0,5.0,1582
横浜市磯子区,1K,21.0,57111.0,15.0,6.0,5549
横浜市神奈川区,1K,22.0,61950.0,11.0,6.0,23167
横浜市緑区,1K,23.0,65496.0,15.0,7.0,5431
横浜市西区,1K,22.0,81479.0,9.0,8.0,5337
横浜市都筑区,1K,26.0,69831.0,15.0,7.0,3429
横浜市金沢区,1K,21.0,53491.0,14.0,5.0,5706
横浜市青葉区,1K,24.0,60359.0,15.0,6.0,5941
横浜市鶴見区,1K,28.0,67645.0,12.0,7.0,45421
